time,n,algo,depth,comps,moves,seed,notes
7931900,100,closest,7,643,254,1759094481326,trial=1
221200,100,closest,7,639,246,1759094481326,trial=2
308400,100,closest,7,648,264,1759094481326,trial=3
time,n,algo,depth,comps,moves,seed,notes
11025800,500,closest,9,4536,1144,1759094489247,trial=1
488800,500,closest,9,4526,1124,1759094489247,trial=2
432800,500,closest,9,4531,1134,1759094489247,trial=3
time,n,algo,depth,comps,moves,seed,notes
9618500,1000,closest,10,10080,2304,1759094497124,trial=1
954600,1000,closest,10,10064,2272,1759094497124,trial=2
842700,1000,closest,10,10071,2286,1759094497124,trial=3
time,n,algo,depth,comps,moves,seed,notes
18443200,5000,closest,12,61392,12784,1759094507661,trial=1
8752600,5000,closest,12,61434,12868,1759094507661,trial=2
5544700,5000,closest,12,61484,12968,1759094507661,trial=3
time,n,algo,depth,comps,moves,seed,notes
21308300,10000,closest,13,132984,25968,1759094513778,trial=1
12945000,10000,closest,13,132978,25956,1759094513778,trial=2
35332900,10000,closest,13,132909,25818,1759094513778,trial=3
