time,n,algo,depth,comps,moves,seed,notes
63900,100,mergesort,3,868,1645,1759094572179,trial=1
30800,100,mergesort,3,883,1664,1759094572179,trial=2
25100,100,mergesort,3,882,1652,1759094572179,trial=3
time,n,algo,depth,comps,moves,seed,notes
111900,500,mergesort,5,6399,12785,1759094580893,trial=1
125800,500,mergesort,5,6457,12834,1759094580893,trial=2
26700,500,mergesort,5,6397,12760,1759094580893,trial=3
time,n,algo,depth,comps,moves,seed,notes
498100,1000,mergesort,6,14179,29441,1759094587002,trial=1
59400,1000,mergesort,6,14245,29476,1759094587002,trial=2
61000,1000,mergesort,6,14265,29502,1759094587002,trial=3
time,n,algo,depth,comps,moves,seed,notes
407900,5000,mergesort,9,85585,199895,1759094596391,trial=1
761000,5000,mergesort,9,85430,199762,1759094596391,trial=2
473700,5000,mergesort,9,85552,199830,1759094596391,trial=3
time,n,algo,depth,comps,moves,seed,notes
789800,10000,mergesort,10,186383,439943,1759094608442,trial=1
3377600,10000,mergesort,10,186250,439729,1759094608442,trial=2
1118600,10000,mergesort,10,186062,439617,1759094608442,trial=3
