time,n,algo,depth,comps,moves,seed,notes
431500,100,quicksort,4,618,816,1759094661282,trial=1
77400,100,quicksort,4,544,954,1759094661282,trial=2
32400,100,quicksort,4,622,1014,1759094661282,trial=3
time,n,algo,depth,comps,moves,seed,notes
756800,500,quicksort,5,5189,7620,1759094669334,trial=1
97500,500,quicksort,5,5209,8886,1759094669334,trial=2
50300,500,quicksort,6,4923,6654,1759094669334,trial=3
time,n,algo,depth,comps,moves,seed,notes
734800,1000,quicksort,6,10999,19620,1759094678385,trial=1
128100,1000,quicksort,6,10905,15396,1759094678385,trial=2
96500,1000,quicksort,6,11034,18450,1759094678385,trial=3
time,n,algo,depth,comps,moves,seed,notes
1572600,5000,quicksort,8,68446,100119,1759094685016,trial=1
286300,5000,quicksort,7,72643,110874,1759094685016,trial=2
320200,5000,quicksort,8,66552,104763,1759094685016,trial=3
time,n,algo,depth,comps,moves,seed,notes
3713000,10000,quicksort,8,153886,233262,1759094690976,trial=1
611100,10000,quicksort,8,150968,231972,1759094690976,trial=2
775400,10000,quicksort,9,152727,213660,1759094690976,trial=3
