"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: kType","Param: size"
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"0,010176","0,002527","ms/op",first,1000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"0,768393","5,939549","ms/op",first,10000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"9,608264","1,574831","ms/op",first,100000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"0,038891","0,003191","ms/op",middle,1000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"0,712554","4,225255","ms/op",middle,10000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"9,504531","1,091642","ms/op",middle,100000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"0,010227","0,003551","ms/op",last,1000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"0,362470","0,018753","ms/op",last,10000
"org.example.bench.SelectBenchMark.benchmarkArraysSort","avgt",1,3,"4,513329","0,061293","ms/op",last,100000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"0,006788","0,000847","ms/op",first,1000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"0,150510","0,015171","ms/op",first,10000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"2,116348","12,108798","ms/op",first,100000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"0,006981","0,001450","ms/op",middle,1000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"0,155001","0,002183","ms/op",middle,10000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"1,893457","0,061144","ms/op",middle,100000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"0,006072","0,000884","ms/op",last,1000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"0,187305","0,050693","ms/op",last,10000
"org.example.bench.SelectBenchMark.benchmarkDeterministicSelect","avgt",1,3,"1,814602","0,171651","ms/op",last,100000
