time,n,algo,depth,comps,moves,seed,notes
581100,100,select,6,216,544,1759095827065,trial=1
55700,100,select,8,236,641,1759095827065,trial=2
44400,100,select,8,184,441,1759095827065,trial=3
time,n,algo,depth,comps,moves,seed,notes
858100,500,select,11,979,2337,1759095842920,trial=1
87400,500,select,11,1003,2359,1759095842920,trial=2
58500,500,select,9,1011,2328,1759095842920,trial=3
time,n,algo,depth,comps,moves,seed,notes
1132200,1000,select,12,2088,4869,1759095849449,trial=1
188600,1000,select,11,2079,4702,1759095849449,trial=2
223200,1000,select,10,2028,4704,1759095849449,trial=3
time,n,algo,depth,comps,moves,seed,notes
1625500,5000,select,9,10445,23549,1759095859935,trial=1
933800,5000,select,11,10392,23279,1759095859935,trial=2
903800,5000,select,13,10515,23320,1759095859935,trial=3
time,n,algo,depth,comps,moves,seed,notes
2912700,10000,select,14,19739,43995,1759095865084,trial=1
1836700,10000,select,14,20688,46451,1759095865084,trial=2
1101500,10000,select,13,19792,44240,1759095865084,trial=3
